id,category,question,answer
532,integrations,What syncs between Bellrock CRM and HubSpot?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with HubSpot. Conflict resolution defaults to last-write-wins, configurable per object."
533,use_cases,Can you share a customer story for fintech sales reps?,"Several fintech customers run their full revenue cycle on Bellrock CRM. A typical sales reps success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/fintech."
534,features,How accurate is Bellrock CRM's call logging?,Internal benchmarks show call logging delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
535,integrations,How do I connect ClickUp to Bellrock CRM?,Go to Settings → Integrations → ClickUp → Connect. Sign in with an admin account on ClickUp and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
536,features,How does Bellrock CRM's quote builder work?,Bellrock CRM provides branded quote and proposal templates with e-signature. The capability is included on the Growth plan and above and configurable per workspace.
537,api,What is the /products endpoint used for?,"Use /products to manage product catalog. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
538,api,What is the /exports endpoint used for?,"Use /exports to schedule exports of CRM data. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
539,use_cases,How do VPs of sales in energy use Bellrock CRM?,"Vps of sales at energy companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. energy-specific pipeline templates ship in the marketplace."
540,pricing,What is included in the Starter plan?,"Starter includes up to 3 users, 10,000 contacts, basic pipeline + email tracking. See the comparison table at /pricing for the full feature matrix and limits."
541,integrations,Does Bellrock CRM integrate with NetSuite?,Yes. The NetSuite integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
542,features,Can duplicate detection be disabled per user?,Yes. Admins can disable duplicate detection for specific roles or individual users under Settings → Users → Permissions.
543,misc,Where do I find release notes?,Release notes are published weekly at changelog.bellrock.example and surfaced in-app under Help → What's New.
544,pricing,Can I downgrade from Starter?,"Yes — downgrades take effect at the end of the current billing period. We don't pro-rate downgrades, so you keep all included features until renewal."
545,features,Does duplicate detection work for international users?,"Yes — duplicate detection respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
546,troubleshooting,I'm seeing 'API rate limit errors' — what should I do?,"If you're hitting 'API rate limit errors', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
547,troubleshooting,Why am I getting 'email tracking pixel blocked'?,"If you're hitting 'email tracking pixel blocked', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
548,use_cases,How do sales reps in retail use Bellrock CRM?,"Sales reps at retail companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. retail-specific pipeline templates ship in the marketplace."
549,use_cases,Is Bellrock CRM a good fit for retail founders?,"Bellrock CRM is widely used by founders in retail. Common reasons cited are the retail field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
550,use_cases,How do marketing managers in automotive use Bellrock CRM?,"Marketing managers at automotive companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. automotive-specific pipeline templates ship in the marketplace."
551,features,How accurate is Bellrock CRM's territory management?,Internal benchmarks show territory management delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
552,api,What's the rate limit on /files?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /files respects this shared limit."
553,use_cases,How do sales managers in education use Bellrock CRM?,"Sales managers at education companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. education-specific pipeline templates ship in the marketplace."
554,integrations,How do I connect Lever to Bellrock CRM?,Go to Settings → Integrations → Lever → Connect. Sign in with an admin account on Lever and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
555,use_cases,How do customer success teams in construction use Bellrock CRM?,"Customer success teams at construction companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. construction-specific pipeline templates ship in the marketplace."
556,troubleshooting,How do I fix 'API rate limit errors'?,"If you're hitting 'API rate limit errors', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
557,integrations,Does Bellrock CRM integrate with PandaDoc?,Yes. The PandaDoc integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
558,features,Is call logging included in the API?,Yes — every call logging action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
559,features,Is playbooks included in the API?,Yes — every playbooks action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
560,pricing,Can I downgrade from Enterprise?,"Yes — downgrades take effect at the end of the current billing period. We don't pro-rate downgrades, so you keep all included features until renewal."
561,features,What data does two-way email sync need?,Two-Way Email Sync relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
562,use_cases,Is Bellrock CRM a good fit for real estate sales reps?,"Bellrock CRM is widely used by sales reps in real estate. Common reasons cited are the real estate field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
563,features,Does call logging support custom fields?,"Yes. Bellrock CRM's call logging reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
564,reporting,Is there a report API?,Yes — `GET /reports/{id}/results` returns the report JSON. Long-running reports return an async job ID with a webhook on completion.
565,features,Is two-way email sync included in the API?,Yes — every two-way email sync action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
566,use_cases,How do RevOps leaders in non-profits use Bellrock CRM?,"Revops leaders at non-profits companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. non-profits-specific pipeline templates ship in the marketplace."
567,api,What's the rate limit on /tasks?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /tasks respects this shared limit."
568,use_cases,Can you share a customer story for real estate customer success teams?,"Several real estate customers run their full revenue cycle on Bellrock CRM. A typical customer success teams success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/real estate."
569,pricing,How are users counted on the Pro plan?,Any user who logs in during a billing period counts as a paid seat on Pro. Read-only viewers are free up to five times the paid seat count.
570,use_cases,Is Bellrock CRM a good fit for professional services sales reps?,"Bellrock CRM is widely used by sales reps in professional services. Common reasons cited are the professional services field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
571,pricing,Do you charge for sandbox environments?,Each Pro workspace includes one sandbox; Enterprise includes three. Additional sandboxes are $99/month each.
572,api,How do I authenticate to /tasks?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /tasks accepts both.
573,integrations,Is the Make integration on every plan?,Make is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
574,features,Can I customize activity timeline in Bellrock CRM?,"Yes — admins configure activity timeline under Settings → Workflow → Activity Timeline. Common customizations include thresholds, custom-field mappings and per-team overrides."
575,integrations,How do I connect NetSuite to Bellrock CRM?,Go to Settings → Integrations → NetSuite → Connect. Sign in with an admin account on NetSuite and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
576,security,Do you support FedRAMP?,FedRAMP Moderate authorization is in progress with a target completion later this year. Customers needing it today can run on our GovCloud beta.
577,features,Can I customize meeting scheduler in Bellrock CRM?,"Yes — admins configure meeting scheduler under Settings → Workflow → Meeting Scheduler. Common customizations include thresholds, custom-field mappings and per-team overrides."
578,integrations,Is the Mailchimp integration on every plan?,Mailchimp is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
579,troubleshooting,How do I fix 'webhook 401 errors'?,"If you're hitting 'webhook 401 errors', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
580,troubleshooting,I'm seeing 'audit log export incomplete' — what should I do?,"If you're hitting 'audit log export incomplete', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
581,features,What data does meeting scheduler need?,Meeting Scheduler relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
582,api,Are there webhooks for /files events?,"Yes — every create, update and delete on /files can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
583,api,What's the rate limit on /notes?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /notes respects this shared limit."
584,misc,Can I have multiple admins?,Yes — assign the Admin role to as many users as you need. There is no upper limit on admin seats.
585,use_cases,Is Bellrock CRM a good fit for education marketing managers?,"Bellrock CRM is widely used by marketing managers in education. Common reasons cited are the education field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
586,features,Does audit logs have an audit trail?,"Yes. Every change made by audit logs is captured in the audit log with user, timestamp and before/after values, retained for seven years."
587,integrations,How do I connect Workday to Bellrock CRM?,Go to Settings → Integrations → Workday → Connect. Sign in with an admin account on Workday and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
588,features,How accurate is Bellrock CRM's custom objects?,Internal benchmarks show custom objects delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
589,integrations,Is the Marketo integration on every plan?,Marketo is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
590,integrations,Is the Webhook integration on every plan?,Webhook is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
591,mobile,Can I log calls from the mobile app?,Yes — call logging detects incoming and outgoing calls (with permission) and prompts to log them on the related contact.
592,onboarding,Do you migrate data from another CRM?,"Yes — free migration from Salesforce, HubSpot, Pipedrive, Zoho and Copper is included for Pro and Enterprise customers."
593,features,Does territory management have an audit trail?,"Yes. Every change made by territory management is captured in the audit log with user, timestamp and before/after values, retained for seven years."
594,features,What data does quote builder need?,Quote Builder relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
595,troubleshooting,Why am I getting 'mobile app crash on launch'?,"If you're hitting 'mobile app crash on launch', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
596,features,Does activity timeline work for international users?,"Yes — activity timeline respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
597,features,Can territory management be disabled per user?,Yes. Admins can disable territory management for specific roles or individual users under Settings → Users → Permissions.
598,integrations,How do I connect Calendly to Bellrock CRM?,Go to Settings → Integrations → Calendly → Connect. Sign in with an admin account on Calendly and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
599,use_cases,How do sales reps in energy use Bellrock CRM?,"Sales reps at energy companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. energy-specific pipeline templates ship in the marketplace."
600,features,What data does lead scoring need?,Lead Scoring relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
601,api,What is the /reports endpoint used for?,"Use /reports to fetch report results as JSON. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
602,integrations,Where do I troubleshoot Calendly sync errors?,Settings → Integrations → Calendly → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Calendly side.
603,use_cases,Can you share a customer story for healthcare customer success teams?,"Several healthcare customers run their full revenue cycle on Bellrock CRM. A typical customer success teams success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/healthcare."
604,security,Is Bellrock CRM SOC 2 compliant?,Yes — Bellrock CRM is SOC 2 Type II certified. The latest report is available from your account team under NDA.
605,use_cases,How do RevOps leaders in media use Bellrock CRM?,"Revops leaders at media companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. media-specific pipeline templates ship in the marketplace."
606,integrations,How do I connect Pardot to Bellrock CRM?,Go to Settings → Integrations → Pardot → Connect. Sign in with an admin account on Pardot and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
607,integrations,Is the Asana integration on every plan?,Asana is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
608,onboarding,Where do I configure email templates?,"Settings → Templates → Email. Templates support merge fields, conditional blocks and rich-text formatting."
609,use_cases,Is Bellrock CRM a good fit for media sales reps?,"Bellrock CRM is widely used by sales reps in media. Common reasons cited are the media field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
610,integrations,What syncs between Bellrock CRM and BambooHR?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with BambooHR. Conflict resolution defaults to last-write-wins, configurable per object."
611,use_cases,How do sales reps in telecom use Bellrock CRM?,"Sales reps at telecom companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. telecom-specific pipeline templates ship in the marketplace."
612,use_cases,How do sales reps in construction use Bellrock CRM?,"Sales reps at construction companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. construction-specific pipeline templates ship in the marketplace."
613,use_cases,How do VPs of sales in manufacturing use Bellrock CRM?,"Vps of sales at manufacturing companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. manufacturing-specific pipeline templates ship in the marketplace."
614,use_cases,Is Bellrock CRM a good fit for retail customer success teams?,"Bellrock CRM is widely used by customer success teams in retail. Common reasons cited are the retail field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
615,use_cases,Can you share a customer story for healthcare RevOps leaders?,"Several healthcare customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/healthcare."
616,features,Is contact enrichment included in the API?,Yes — every contact enrichment action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
617,features,Does territory management support custom fields?,"Yes. Bellrock CRM's territory management reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
618,use_cases,Is Bellrock CRM a good fit for professional services customer success teams?,"Bellrock CRM is widely used by customer success teams in professional services. Common reasons cited are the professional services field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
619,security,Do you support SSO?,"Yes — SAML 2.0 and OIDC SSO are available on the Pro plan and above. Common IdPs (Okta, Azure AD, Google Workspace) ship with pre-built configurations."
620,features,Is lead scoring included in the API?,Yes — every lead scoring action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
621,features,What data does contact enrichment need?,Contact Enrichment relies on the standard Contact and Deal fields plus any custom fields you map. The setup wizard surfaces missing data on first run.
622,use_cases,Can you share a customer story for construction sales managers?,"Several construction customers run their full revenue cycle on Bellrock CRM. A typical sales managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/construction."
623,use_cases,Is Bellrock CRM a good fit for SaaS marketing managers?,"Bellrock CRM is widely used by marketing managers in SaaS. Common reasons cited are the SaaS field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
624,integrations,What syncs between Bellrock CRM and Calendly?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Calendly. Conflict resolution defaults to last-write-wins, configurable per object."
625,features,Is activity timeline available on the free trial?,Activity Timeline is available during the 14-day Growth-tier trial. Starter plans do not include it.
626,security,Can I configure session timeouts?,Yes — admins set both idle and absolute session timeouts per workspace under Settings → Security → Sessions.
627,troubleshooting,I'm seeing 'inactive seat billing' — what should I do?,"If you're hitting 'inactive seat billing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
628,integrations,Where do I troubleshoot Gmail sync errors?,Settings → Integrations → Gmail → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Gmail side.
629,use_cases,Is Bellrock CRM a good fit for media customer success teams?,"Bellrock CRM is widely used by customer success teams in media. Common reasons cited are the media field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
630,features,How does Bellrock CRM's custom objects work?,"Bellrock CRM provides design custom objects with relationships, layouts and permissions. The capability is included on the Growth plan and above and configurable per workspace."
631,integrations,What syncs between Bellrock CRM and Make?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Make. Conflict resolution defaults to last-write-wins, configurable per object."
632,security,What is the historical uptime?,Trailing-12-month uptime is 99.97% across all production regions. Monthly uptime numbers are published on status.bellrock.example.
633,use_cases,Can you share a customer story for logistics customer success teams?,"Several logistics customers run their full revenue cycle on Bellrock CRM. A typical customer success teams success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/logistics."
634,use_cases,How do founders in professional services use Bellrock CRM?,"Founders at professional services companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. professional services-specific pipeline templates ship in the marketplace."
635,api,How do I authenticate to /orders?,Send the `Authorization: Bearer <token>` header with a personal API token from Settings → API or an OAuth2 access token. /orders accepts both.
636,reporting,Can I export reports as PDF?,Yes — every report has an Export → PDF action. Branded PDF templates are configurable on Pro and Enterprise.
637,features,How accurate is Bellrock CRM's forecasting?,Internal benchmarks show forecasting delivers strong precision on production datasets. Customers can tune sensitivity per workspace.
638,use_cases,Can you share a customer story for construction RevOps leaders?,"Several construction customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/construction."
639,features,Can call logging be disabled per user?,Yes. Admins can disable call logging for specific roles or individual users under Settings → Users → Permissions.
640,use_cases,How do sales managers in real estate use Bellrock CRM?,"Sales managers at real estate companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. real estate-specific pipeline templates ship in the marketplace."
641,use_cases,Can you share a customer story for education RevOps leaders?,"Several education customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/education."
642,security,Does Bellrock CRM comply with GDPR?,"Yes — Bellrock CRM is GDPR compliant. We act as a data processor, offer a DPA, support EU-region data residency and provide DSR tooling."
643,use_cases,Can you share a customer story for professional services VPs of sales?,"Several professional services customers run their full revenue cycle on Bellrock CRM. A typical VPs of sales success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/professional services."
644,features,Can I customize playbooks in Bellrock CRM?,"Yes — admins configure playbooks under Settings → Workflow → Playbooks. Common customizations include thresholds, custom-field mappings and per-team overrides."
645,integrations,Is the Aircall integration on every plan?,Aircall is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
646,integrations,Does Bellrock CRM integrate with Gmail?,Yes. The Gmail integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
647,use_cases,Can you share a customer story for telecom marketing managers?,"Several telecom customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/telecom."
648,use_cases,Is Bellrock CRM a good fit for real estate sales managers?,"Bellrock CRM is widely used by sales managers in real estate. Common reasons cited are the real estate field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
649,onboarding,Can I create custom fields?,"Yes — Settings → Object Manager → [Object] → Fields. Custom fields support text, number, date, picklist, multi-select, formula, rollup and lookup types."
650,features,Does data import wizard support custom fields?,"Yes. Bellrock CRM's data import wizard reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
651,features,Does forecasting work for international users?,"Yes — forecasting respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
652,use_cases,Can you share a customer story for manufacturing VPs of sales?,"Several manufacturing customers run their full revenue cycle on Bellrock CRM. A typical VPs of sales success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/manufacturing."
653,use_cases,How do customer success teams in media use Bellrock CRM?,"Customer success teams at media companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. media-specific pipeline templates ship in the marketplace."
654,troubleshooting,How do I fix 'mobile app crash on launch'?,"If you're hitting 'mobile app crash on launch', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
655,api,What is the /tasks endpoint used for?,"Use /tasks to create and update tasks. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
656,use_cases,Can you share a customer story for manufacturing customer success teams?,"Several manufacturing customers run their full revenue cycle on Bellrock CRM. A typical customer success teams success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/manufacturing."
657,use_cases,How do marketing managers in fintech use Bellrock CRM?,"Marketing managers at fintech companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. fintech-specific pipeline templates ship in the marketplace."
658,api,What is the /auth/tokens endpoint used for?,"Use /auth/tokens to manage OAuth and API tokens. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
659,use_cases,Can you share a customer story for non-profits sales reps?,"Several non-profits customers run their full revenue cycle on Bellrock CRM. A typical sales reps success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/non-profits."
660,features,Does workflow automation support custom fields?,"Yes. Bellrock CRM's workflow automation reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
661,integrations,How do I connect Stripe to Bellrock CRM?,Go to Settings → Integrations → Stripe → Connect. Sign in with an admin account on Stripe and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
662,use_cases,How do sales reps in automotive use Bellrock CRM?,"Sales reps at automotive companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. automotive-specific pipeline templates ship in the marketplace."
663,use_cases,Is Bellrock CRM a good fit for healthcare customer success teams?,"Bellrock CRM is widely used by customer success teams in healthcare. Common reasons cited are the healthcare field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
664,use_cases,How do marketing managers in education use Bellrock CRM?,"Marketing managers at education companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. education-specific pipeline templates ship in the marketplace."
665,api,What is the /activities endpoint used for?,"Use /activities to log calls, emails and meetings. It supports GET (list/read), POST (create), PATCH (partial update) and DELETE."
666,integrations,What syncs between Bellrock CRM and Salesforce?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Salesforce. Conflict resolution defaults to last-write-wins, configurable per object."
667,integrations,Is the Drift integration on every plan?,Drift is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
668,onboarding,Is there a sandbox environment?,Pro plans include one sandbox; Enterprise includes three. Sandboxes mirror the production schema and can be refreshed weekly.
669,features,Where do I enable cadence sequences?,Open Settings → Cadence Sequences → Enable. The first run takes about 60 seconds to backfill historical records.
670,use_cases,Is Bellrock CRM a good fit for fintech VPs of sales?,"Bellrock CRM is widely used by VPs of sales in fintech. Common reasons cited are the fintech field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
671,use_cases,How do RevOps leaders in professional services use Bellrock CRM?,"Revops leaders at professional services companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. professional services-specific pipeline templates ship in the marketplace."
672,troubleshooting,I'm seeing 'email tracking pixel blocked' — what should I do?,"If you're hitting 'email tracking pixel blocked', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
673,integrations,What syncs between Bellrock CRM and Pardot?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Pardot. Conflict resolution defaults to last-write-wins, configurable per object."
674,use_cases,Is Bellrock CRM a good fit for SaaS RevOps leaders?,"Bellrock CRM is widely used by RevOps leaders in SaaS. Common reasons cited are the SaaS field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
675,mobile,Can I disable the mobile app for some users?,Yes — admins can restrict mobile access per role under Settings → Permissions → Mobile.
676,integrations,Where do I troubleshoot Notion sync errors?,Settings → Integrations → Notion → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Notion side.
677,features,Is lead scoring available on the free trial?,Lead Scoring is available during the 14-day Growth-tier trial. Starter plans do not include it.
678,onboarding,Where do I configure currency?,Settings → Workspace → Currency. Multi-currency with daily exchange rates is available on Pro and Enterprise.
679,features,Does lead routing support custom fields?,"Yes. Bellrock CRM's lead routing reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
680,use_cases,Is Bellrock CRM a good fit for telecom customer success teams?,"Bellrock CRM is widely used by customer success teams in telecom. Common reasons cited are the telecom field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
681,mobile,Can I use the mobile app in airplane mode?,Yes — read-only access to cached records works in airplane mode. New edits queue locally and flush on reconnect.
682,features,Is custom objects included in the API?,Yes — every custom objects action is exposed in the REST and GraphQL API and emits webhooks for downstream automation.
683,use_cases,Is Bellrock CRM a good fit for fintech customer success teams?,"Bellrock CRM is widely used by customer success teams in fintech. Common reasons cited are the fintech field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
684,use_cases,How do sales managers in telecom use Bellrock CRM?,"Sales managers at telecom companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. telecom-specific pipeline templates ship in the marketplace."
685,use_cases,How do founders in automotive use Bellrock CRM?,"Founders at automotive companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. automotive-specific pipeline templates ship in the marketplace."
686,features,Does lead routing work for international users?,"Yes — lead routing respects user locale, timezone and currency settings. Multi-currency support requires the Pro plan or higher."
687,integrations,What syncs between Bellrock CRM and Gmail?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Gmail. Conflict resolution defaults to last-write-wins, configurable per object."
688,misc,Who is my account manager?,Pro and Enterprise customers have a named CSM listed under Settings → Help → Your Team.
689,features,Where do I enable pipeline management?,Open Settings → Pipeline Management → Enable. The first run takes about 60 seconds to backfill historical records.
690,use_cases,Can you share a customer story for healthcare marketing managers?,"Several healthcare customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/healthcare."
691,use_cases,Can you share a customer story for media VPs of sales?,"Several media customers run their full revenue cycle on Bellrock CRM. A typical VPs of sales success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/media."
692,features,Can meeting scheduler be disabled per user?,Yes. Admins can disable meeting scheduler for specific roles or individual users under Settings → Users → Permissions.
693,use_cases,Is Bellrock CRM a good fit for automotive sales reps?,"Bellrock CRM is widely used by sales reps in automotive. Common reasons cited are the automotive field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
